warehouse_id,sku_id,available_quantity,reserved_quantity,stock_date
WH_01,SKU_0001,475,6,2026-01-15
WH_01,SKU_0002,240,9,2026-01-15
WH_01,SKU_0003,34,48,2026-01-15
WH_01,SKU_0004,313,1,2026-01-15
WH_01,SKU_0005,407,19,2026-01-15
WH_01,SKU_0006,271,32,2026-01-15
WH_01,SKU_0007,309,37,2026-01-15
WH_01,SKU_0008,234,19,2026-01-15
WH_01,SKU_0009,415,18,2026-01-15
WH_01,SKU_0010,254,25,2026-01-15
WH_01,SKU_0011,443,10,2026-01-15
WH_01,SKU_0012,340,37,2026-01-15
WH_01,SKU_0013,209,24,2026-01-15
WH_01,SKU_0014,493,0,2026-01-15
WH_01,SKU_0015,268,27,2026-01-15
WH_01,SKU_0016,421,10,2026-01-15
WH_01,SKU_0017,258,35,2026-01-15
WH_01,SKU_0018,441,30,2026-01-15
WH_01,SKU_0019,212,43,2026-01-15
WH_01,SKU_0020,451,35,2026-01-15
WH_01,SKU_0021,147,17,2026-01-15
WH_01,SKU_0022,12,46,2026-01-15
WH_01,SKU_0023,297,39,2026-01-15
WH_01,SKU_0024,22,42,2026-01-15
WH_01,SKU_0025,423,13,2026-01-15
WH_01,SKU_0026,258,5,2026-01-15
WH_01,SKU_0027,242,48,2026-01-15
WH_01,SKU_0028,467,26,2026-01-15
WH_01,SKU_0029,370,42,2026-01-15
WH_01,SKU_0030,480,50,2026-01-15
WH_01,SKU_0031,83,41,2026-01-15
WH_01,SKU_0032,201,9,2026-01-15
WH_01,SKU_0033,66,45,2026-01-15
WH_01,SKU_0034,255,5,2026-01-15
WH_01,SKU_0035,347,2,2026-01-15
WH_01,SKU_0036,455,41,2026-01-15
WH_01,SKU_0037,487,16,2026-01-15
WH_01,SKU_0038,260,46,2026-01-15
WH_01,SKU_0039,295,41,2026-01-15
WH_01,SKU_0040,216,13,2026-01-15
WH_01,SKU_0041,215,23,2026-01-15
WH_01,SKU_0042,182,30,2026-01-15
WH_01,SKU_0043,393,44,2026-01-15
WH_01,SKU_0044,269,18,2026-01-15
WH_01,SKU_0045,216,22,2026-01-15
WH_01,SKU_0046,125,36,2026-01-15
WH_01,SKU_0047,44,25,2026-01-15
WH_01,SKU_0048,97,39,2026-01-15
WH_01,SKU_0049,19,11,2026-01-15
WH_01,SKU_0050,272,36,2026-01-15
WH_01,SKU_0051,240,6,2026-01-15
WH_01,SKU_0052,218,6,2026-01-15
WH_01,SKU_0053,349,29,2026-01-15
WH_01,SKU_0054,119,21,2026-01-15
WH_01,SKU_0055,33,45,2026-01-15
WH_01,SKU_0056,266,38,2026-01-15
WH_01,SKU_0057,71,46,2026-01-15
WH_01,SKU_0058,142,29,2026-01-15
WH_01,SKU_0059,168,27,2026-01-15
WH_01,SKU_0060,44,21,2026-01-15
WH_01,SKU_0061,19,22,2026-01-15
WH_01,SKU_0062,359,5,2026-01-15
WH_01,SKU_0063,54,6,2026-01-15
WH_01,SKU_0064,50,46,2026-01-15
WH_01,SKU_0065,232,47,2026-01-15
WH_01,SKU_0066,357,19,2026-01-15
WH_01,SKU_0067,271,1,2026-01-15
WH_01,SKU_0068,464,17,2026-01-15
WH_01,SKU_0069,294,36,2026-01-15
WH_01,SKU_0070,473,29,2026-01-15
WH_01,SKU_0071,416,41,2026-01-15
WH_01,SKU_0072,371,24,2026-01-15
WH_01,SKU_0073,258,33,2026-01-15
WH_01,SKU_0074,132,10,2026-01-15
WH_01,SKU_0075,132,46,2026-01-15
WH_01,SKU_0076,437,5,2026-01-15
WH_01,SKU_0077,271,20,2026-01-15
WH_01,SKU_0078,438,42,2026-01-15
WH_01,SKU_0079,68,36,2026-01-15
WH_01,SKU_0080,332,32,2026-01-15
WH_01,SKU_0081,408,22,2026-01-15
WH_01,SKU_0082,1,2,2026-01-15
WH_01,SKU_0083,327,44,2026-01-15
WH_01,SKU_0084,335,4,2026-01-15
WH_01,SKU_0085,464,36,2026-01-15
WH_01,SKU_0086,153,37,2026-01-15
WH_01,SKU_0087,400,10,2026-01-15
WH_01,SKU_0088,385,33,2026-01-15
WH_01,SKU_0089,424,19,2026-01-15
WH_01,SKU_0090,395,30,2026-01-15
WH_01,SKU_0091,121,2,2026-01-15
WH_01,SKU_0092,70,22,2026-01-15
WH_01,SKU_0093,264,47,2026-01-15
WH_01,SKU_0094,165,30,2026-01-15
WH_01,SKU_0095,323,48,2026-01-15
WH_01,SKU_0096,126,0,2026-01-15
WH_01,SKU_0097,7,11,2026-01-15
WH_01,SKU_0098,293,11,2026-01-15
WH_01,SKU_0099,162,41,2026-01-15
WH_01,SKU_0100,482,23,2026-01-15
WH_02,SKU_0001,10,33,2026-01-15
WH_02,SKU_0002,305,49,2026-01-15
WH_02,SKU_0003,36,4,2026-01-15
WH_02,SKU_0004,462,6,2026-01-15
WH_02,SKU_0005,42,33,2026-01-15
WH_02,SKU_0006,389,12,2026-01-15
WH_02,SKU_0007,378,27,2026-01-15
WH_02,SKU_0008,243,15,2026-01-15
WH_02,SKU_0009,5,29,2026-01-15
WH_02,SKU_0010,353,14,2026-01-15
WH_02,SKU_0011,398,49,2026-01-15
WH_02,SKU_0012,421,13,2026-01-15
WH_02,SKU_0013,164,5,2026-01-15
WH_02,SKU_0014,145,1,2026-01-15
WH_02,SKU_0015,87,33,2026-01-15
WH_02,SKU_0016,178,9,2026-01-15
WH_02,SKU_0017,170,2,2026-01-15
WH_02,SKU_0018,325,12,2026-01-15
WH_02,SKU_0019,31,7,2026-01-15
WH_02,SKU_0020,204,16,2026-01-15
WH_02,SKU_0021,107,46,2026-01-15
WH_02,SKU_0022,33,34,2026-01-15
WH_02,SKU_0023,377,47,2026-01-15
WH_02,SKU_0024,424,50,2026-01-15
WH_02,SKU_0025,187,0,2026-01-15
WH_02,SKU_0026,119,3,2026-01-15
WH_02,SKU_0027,419,14,2026-01-15
WH_02,SKU_0028,198,21,2026-01-15
WH_02,SKU_0029,298,36,2026-01-15
WH_02,SKU_0030,58,41,2026-01-15
WH_02,SKU_0031,410,13,2026-01-15
WH_02,SKU_0032,241,4,2026-01-15
WH_02,SKU_0033,385,43,2026-01-15
WH_02,SKU_0034,269,30,2026-01-15
WH_02,SKU_0035,471,35,2026-01-15
WH_02,SKU_0036,30,45,2026-01-15
WH_02,SKU_0037,239,49,2026-01-15
WH_02,SKU_0038,29,16,2026-01-15
WH_02,SKU_0039,55,2,2026-01-15
WH_02,SKU_0040,93,47,2026-01-15
WH_02,SKU_0041,181,33,2026-01-15
WH_02,SKU_0042,213,30,2026-01-15
WH_02,SKU_0043,218,30,2026-01-15
WH_02,SKU_0044,285,33,2026-01-15
WH_02,SKU_0045,243,17,2026-01-15
WH_02,SKU_0046,190,19,2026-01-15
WH_02,SKU_0047,225,19,2026-01-15
WH_02,SKU_0048,232,8,2026-01-15
WH_02,SKU_0049,157,41,2026-01-15
WH_02,SKU_0050,195,36,2026-01-15
WH_02,SKU_0051,6,25,2026-01-15
WH_02,SKU_0052,348,33,2026-01-15
WH_02,SKU_0053,238,42,2026-01-15
WH_02,SKU_0054,198,42,2026-01-15
WH_02,SKU_0055,63,47,2026-01-15
WH_02,SKU_0056,436,40,2026-01-15
WH_02,SKU_0057,30,15,2026-01-15
WH_02,SKU_0058,28,24,2026-01-15
WH_02,SKU_0059,100,26,2026-01-15
